,lewa,prawa
0,1572016601.893239,1572016902.046103
1,1572016611.898738,1572016912.049846
2,1572016621.9010391,1572016922.055746
3,1572016631.902975,1572016932.0685408
4,1572016641.910214,1572016942.0821362
5,1572016651.914796,1572016952.0967438
6,1572016661.918891,1572016962.11055
7,1572016671.922879,1572016972.1295621
8,1572016681.9278011,1572016982.142058
9,1572016691.9326952,1572016992.1542559
10,1572016701.937674,1572017002.167008
11,1572016711.94133,1572017012.1738
12,1572016721.94842,1572017022.188454
13,1572016731.9558148,1572017032.1946828
14,1572016741.9594529,1572017042.206968
15,1572016751.969244,1572017052.210523
16,1572016761.973259,1572017062.225861
17,1572016771.982614,1572017072.2383301
18,1572016781.9894989,1572017082.24463
19,1572016791.9938219,1572017092.2539752
20,1572016801.997841,1572017102.2637281
21,1572016812.0050461,1572017112.267025
22,1572016822.008542,1572017122.2747872
23,1572016832.012029,1572017132.279297
24,1572016842.015879,1572017142.288256
25,1572016852.0201962,1572017152.3032131
26,1572016862.023472,1572017162.3089159
27,1572016872.026339,1572017172.312623
28,1572016882.030412,1572017182.331771
29,1572016892.036404,1572017192.340677
